Benefit Ball™ Barbie® Doll,1992,1521,Collector Edition,Classique® Collection,Collector,,"The premier doll in the elegant and popular Classique® Collection. With titian hair, a stunning metallic blue and golden-colored gown, and fabulous accessories, Benefit Ball™ Barbie® doll is a true vision of style and sophistication. Dressed for a grand charity ball, Barbie® is draped in billows of metallic blue and golden fabric. Rooted eyelashes, golden earrings, and golden opera gloves complete this lavish look."
Starlight Dance™ Barbie® Doll,1996,15461,Collector Edition,Classique® Collection,Collector,,"Starlight Dance™ Barbie® doll wears an off-white silky crepe gown with glittering chiffon panels and ruffles highlighting the side of the dress. Sparkling crystal rhinestones accent the sheer fitted bodice and emphasize the beauty of the sweeping design. Her sparkling accessories include bracelets, earrings and an imaginative headband, while her stunning hair is swept into a dramatic up-do."
Starlight Dance™ Barbie® Doll,1996,15819,Collector Edition,Classique® Collection,Collector,,"Starlight Dance™ Barbie® doll wears an off-white silky crepe gown with glittering chiffon panels and ruffles highlighting the side of the dress. Sparkling crystal rhinestones accent the sheer fitted bodice and emphasize the beauty of the sweeping design. Her sparkling accessories include bracelets, earrings and an imaginative headband, while her stunning hair is swept into a dramatic up-do."
Romantic Interlude™ Barbie® Doll,1997,17136,Collector Edition,Classique® Collection,Collector,,"A portrait in elegance, this 1997 Classique Collection Barbie® doll features a striking combination of black and white in a timeless silhouette. Created by designer Ann Driskill, Romantic Interlude™ Barbie® makes a strong statement in a long, black velvety coat that opens to reveal an off-white satin underskirt. Rhinestone buttons highlight the bodice and hat with a simple spray of black and white feathers completing one of the most elegant Barbie® ensembles ever. Underneath her skirt, she wears black boots to complete the outfit. Her brown hair is flatteringly bobbed at her chin and she has rooted eyelashes."
Midnight Gala™ Barbie® Doll,1995,12999,Collector Edition,Classique® Collection,Collector,,"The clock strikes twelve and Barbie® doll makes a grand entrance. Wearing an elegant black velvet gown with gold glitter and rhinestones accenting the bodice, she's certain to turn heads. Her dramatic cape with ornate detailing tops off this truly stunning design. This ultra glamorous Classique® Collection doll was created by veteran Mattel designer Abbe Littleton. From her long golden earrings and jeweled headpiece, to her rooted eyelashes and perfectly placed beauty mark, Barbie® makes this one gala you'll never forget."
Uptown Chic Barbie® Doll,1994,11623,Collector Edition,Classique® Collection,Collector,,"In a fabulous mix of faux leather and lace, Barbie® doll achieves a very chic look. Her stylish ensemble includes white faux leather top, short pants, and trapeze coat. Matching hat and pumps accompany this fun outfit."
Opening Night™ Barbie® Doll,1997,10148,Collector Edition,Classique® Collection,Collector,,"Opening Night™ Barbie® doll is a stunning vision of pink splendor. Wearing a fitted silvery and pink jacket with sequins and beads, a flowing fuchsia skirt with silvery trim, and a matching hat with silvery trim, Barbie® is ready to attend a major opening night event. Her black hair and rooted eyelashes create a dramatic contrast to the fuchsia and silver colors of her ensemble."
City Style® Barbie® Doll,1993,10149,Collector Edition,Classique® Collection,Collector,,"Barbie® doll is ready for a fun day of city shopping in this stylish white and golden suit. Her lined white dress with golden top, white jacket trimmed in golden braid, and stylish short blond hair make Barbie® quite the trendsetter. Stylish accessories include a white hat with golden trim, white purse with golden shoulder strap, and a matching white shopping bag with a golden Barbie® ""B""."
Benefit Ball™ Barbie® Doll,1992,1521,Collector Edition,Classique® Collection,Collector,,"The premier doll in the elegant and popular Classique® Collection. With titian hair, a stunning metallic blue and golden-colored gown, and fabulous accessories, Benefit Ball™ Barbie® doll is a true vision of style and sophistication. Dressed for a grand charity ball, Barbie® is draped in billows of metallic blue and golden fabric. Rooted eyelashes, golden earrings, and golden opera gloves complete this lavish look."
Sapphire Dream® Barbie® Doll,1995,13255,Limited Edition,Society Style Collection®,Collector,,"Barbie® doll will surely take your breath away in this fabulous blue ensemble! Wearing a simple yet elegant sapphire-blue gown and matching blue wrap with golden accents, this limited edition doll captures the essence of her namesake. Her long blond hair cascades around her shoulders, and is accented by an adorable blue hair ribbon with golden trim. Golden drop earrings and rooted eyelashes complete Barbie® doll's stunning look."
Emerald Enchantment™ Barbie® Doll,1996,17443,Limited Edition,Society Style Collection®,Collector,,"A stunning vision in green, Emerald Enchantment™ Barbie® doll is surrounded by a swirling gown sparkling with golden highlights. The third and final doll in the Society Style Collection® available exclusively at Toys R Us, Barbie® wears an emerald green dress with a taffeta bodice and velvety skirt. She has an emerald green shawl edged in golden thread. Accessories include a headband, earrings, and a golden hand ring. She is a true beauty for all to behold and treasure always."
Royal Invitation Barbie Doll,1993,10969,,,Play line,,
Theater Elegance Barbie Doll,1994,12077,Special Limited Edition,,Collector,,
Jewel Princess™ Barbie® Doll,1996,15826,Limited Edition,Winter Princess Collection,Collector,,"Celebrate the holidays in royal fashion. This elegant, Limited Edition doll from the Winter Princess Collection wears a short, red velvety coat trimmed in soft, white cozy ""fur. "" The peplum styling accents Barbie® doll's tiny waist while her jaunty red hat complements her long, blonde hair. From her snowy muff to her classic, plaid skirt, she's the perfect doll to warm your holiday season."
Men's Ken Box Costume,2023,10655,,,,,"Having a great smile filled with pearly whites is nice. Fixing your hair into a stylish do is cool... Wearing fashionable clothing is fine and all. However, what's the point of all of that if you're just walking around in the world completely unprotected?"
Evergreen Princess Barbie® Doll (blonde),1994,12123,Limited Edition,Winter Princess Collection,Collector,,"Barbie® doll is dressed in a stunning evergreen gown accented by golden ribbons of fabric. Her long wavy hair is pulled away from her delicately featured face by a golden headband, showing off the lovely golden earrings that dangle from her dainty ears. A matching golden choker hangs around her neck."
,,17577,,,,,
Peppermint Princess™ Barbie® Doll,1995,13598,Limited Edition,Winter Princess Collection,Collector,,"Barbie® doll makes a delightful princess in this candy cane-inspired ensemble. She's dressed in a sleeveless red fitted bodice with white faux fur-trimmed collar and cap, long white fingerless gloves, and a red and white striped full skirt. Golden floral accents at her waist and in her hair complement this candy-inspired costume."
Peppermint Princess™ Barbie® Doll,1995,13598,Limited Edition,Winter Princess Collection,Collector,,"Barbie® doll makes a delightful princess in this candy cane-inspired ensemble. She's dressed in a sleeveless red fitted bodice with white faux fur-trimmed collar and cap, long white fingerless gloves, and a red and white striped full skirt. Golden floral accents at her waist and in her hair complement this candy-inspired costume."
Peppermint Princess™ Barbie® Doll,1995,13598,Limited Edition,Winter Princess Collection,Collector,,"Barbie® doll makes a delightful princess in this candy cane-inspired ensemble. She's dressed in a sleeveless red fitted bodice with white faux fur-trimmed collar and cap, long white fingerless gloves, and a red and white striped full skirt. Golden floral accents at her waist and in her hair complement this candy-inspired costume."
Water Lily™ Barbie® Doll,1997,17783,Limited Edition,Artist Series,Collector,,The first doll in a limited edition series based on artwork of famous artists. Water Lily™ Barbie® doll's dress features a water lily print with a three-layer ruffle wrapping around it. Translucent beads cascade over her left shoulder and down the front of the gown and her beautiful golden hair is worn in a loose bun with long tendrils. Her hair is also adorned with two pink waterlilies and a colorful blue streak.
Water Lily™ Barbie® Doll,1997,17783,Limited Edition,Artist Series,Collector,,The first doll in a limited edition series based on artwork of famous artists. Water Lily™ Barbie® doll's dress features a water lily print with a three-layer ruffle wrapping around it. Translucent beads cascade over her left shoulder and down the front of the gown and her beautiful golden hair is worn in a loose bun with long tendrils. Her hair is also adorned with two pink waterlilies and a colorful blue streak.
Barbie® Doll as Marilyn™ in the Pink Dress from Gentlemen Prefer Blondes™,1997,17451,,Hollywood Legends Collection®,Collector,,"More Hollywood glamour and excitement! From Gentlemen Prefer Blondes, Barbie® doll as Marilyn shines in a beautiful recreation of the pink satin dress worn by Marilyn as she sings the famous song ""Diamonds Are A Girl's Best Friend. "" Her dress includes the stunning oversized bow with its contrasting black taffeta lining. Accented with incredible accessories, including two rhinestone bracelets, rhinestone necklace and earrings. All the sparkle and excitement of one of the most popular Marilyn Monroe films has been recaptured as only Barbie® can do it!"
1994 Happy Holidays® Gala Barbie® Doll,1994,13545,Special Edition,Happy Holidays® Series,Collector,,Barbie® doll wears a glamorous Christmas-inspired dress.
